restaurante,gastronomia,precio,opinion,reseña,url
BLoved,Internacional,Medio,475 opiniones,Cuqui,https://www.tripadvisor.es/Restaurant_Review-g187514-d2001964-Reviews-BLoved-Madrid.html
Trattoria Pulcinella,Italiana,Medio,2786 opiniones,Cena con amigos,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html
Oven Mozzarella Bar Fuencarral,Italiana,Medio,4135 opiniones,Cena exquisita,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html
Pizzie & Dixie,Italiana,Medio,210 opiniones,Comida sin gluten y vegana,https://www.tripadvisor.es/Restaurant_Review-g187514-d12494376-Reviews-Pizzie_Dixie-Madrid.html
Fiaschetteria La Saletta,Italiana,Bajo,298 opiniones,Perfecta opción de cocina italiana autentica,https://www.tripadvisor.es/Restaurant_Review-g187514-d6736921-Reviews-Fiaschetteria_La_Saletta-Madrid.html
Ronda 14,Japonesa,Medio,983 opiniones,Excelente cena familiar,https://www.tripadvisor.es/Restaurant_Review-g187514-d8629367-Reviews-Ronda_14-Madrid.html
Bombardino Café,Italiana,Medio,353 opiniones,Experiencia inolvodable,https://www.tripadvisor.es/Restaurant_Review-g187514-d10355629-Reviews-Bombardino_Cafe-Madrid.html
Matilda,Café y té,Bajo,760 opiniones,"Buen trato, rica comida",https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html
Oliveto,Italiana,Medio,380 opiniones,"Todo muy bueno, solo he echado de menos algún tipo de ensalada. Por lo demás acogedor, buen trato y muy familiar.",https://www.tripadvisor.es/Restaurant_Review-g187514-d7125727-Reviews-Oliveto-Madrid.html
Etnico Madrid,Bares y pubs,Medio,141 opiniones,Excelente cocteleriaBar,https://www.tripadvisor.es/Restaurant_Review-g187514-d15083798-Reviews-Etnico_Madrid-Madrid.html
La General Bistró & Café,Café y té,Medio,403 opiniones,BBB,https://www.tripadvisor.es/Restaurant_Review-g187514-d10377924-Reviews-La_General-Madrid.html
Araldo Arte del Gusto,Italiana,Medio,211 opiniones,Restaurante italiano de calidad.materia prima de primera calidad.,https://www.tripadvisor.es/Restaurant_Review-g187514-d14084856-Reviews-Araldo_Arte_del_Gusto_Madrazo-Madrid.html
Ristorante Reginella,Italiana,Medio,681 opiniones,Masa aireada y sabrosa pizza,https://www.tripadvisor.es/Restaurant_Review-g187514-d7692044-Reviews-Ristorante_Reginella-Madrid.html
Eatmytrip Brunch & Dinner Madrid,Americana,Medio,62 opiniones,También tienen cenas los fines de semana y están genial!!,https://www.tripadvisor.es/Restaurant_Review-g187514-d24052391-Reviews-Eatmytrip_Brunch_Dinner_Madrid-Madrid.html
Menomale,Italiana,Medio,204 opiniones,Maravilla,https://www.tripadvisor.es/Restaurant_Review-g187514-d8591860-Reviews-Menomale-Madrid.html
Casa Crimi,Italiana,Medio,32 opiniones,"Espectacular, como siempre",https://www.tripadvisor.es/Restaurant_Review-g187514-d20309751-Reviews-Casa_Crimi-Madrid.html
Mamúa Café Bar. Specialty coffee,Café,Bajo,129 opiniones,FANTASTICO,https://www.tripadvisor.es/Restaurant_Review-g187514-d13361005-Reviews-Mamua_Cafe_Bar_Specialty_coffee-Madrid.html
Pizzart Villa Luchana,Italiana,Medio,775 opiniones,Buena vibra ✨,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html
Dr Limon,Café,Medio,81 opiniones,Totalmente recomendable,https://www.tripadvisor.es/Restaurant_Review-g187514-d12614143-Reviews-Dr_Limon-Madrid.html
Filu e Ferru,Italiana,Medio,37 opiniones,Cocina sarda en Madrid,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328153-Reviews-Filu_e_Ferru-Madrid.html
Latasia,Peruana,Medio,480 opiniones,Buenísimo,https://www.tripadvisor.es/Restaurant_Review-g187514-d10297246-Reviews-Latasia-Madrid.html
Sibuya Urban Sushi Bar X-Madrid,Japonesa,Medio,337 opiniones,11.6 km,https://www.tripadvisor.es/Restaurant_Review-g562646-d19488194-Reviews-Sibuya_Urban_Sushi_Bar_X_Madrid-Alcorcon.html
La Pizzateca,Italiana,Bajo,1150 opiniones,La mejor pizza de queso que he comido nunca.,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html
Sibuya Urban Sushi Bar Madrid C/ibiza,Japonesa,Medio,724 opiniones,Delicioso,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar_Madrid_C_ibiza-Madrid.html
Inclán Brutal Bar,Bar,Medio,5570 opiniones,Un lugar diferente donde comer,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html
CHILA,China,Medio,88 opiniones,Buen y original restaurante chino,https://www.tripadvisor.es/Restaurant_Review-g187514-d19888523-Reviews-CHILA-Madrid.html
Angelita Madrid,Internacional,Medio,809 opiniones,centrico y muy buen vino y comida,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html
Divino Tinto,Mediterránea,Medio,278 opiniones,Recomendado 100%,https://www.tripadvisor.es/Restaurant_Review-g187514-d8727668-Reviews-Divino_Tinto-Madrid.html
Pizzamascalzone,Italiana,Medio,157 opiniones,Experiencia única,https://www.tripadvisor.es/Restaurant_Review-g187514-d2174509-Reviews-Pizzamascalzone-Madrid.html
Éccolo,Italiana,Medio,133 opiniones,Gusto de sitio,https://www.tripadvisor.es/Restaurant_Review-g187514-d13226010-Reviews-Eccolo-Madrid.html
Maximo's,Japonesa,Medio,269 opiniones,Sushi de calidad,https://www.tripadvisor.es/Restaurant_Review-g187514-d23623277-Reviews-Maximo_Sushi_Bar-Madrid.html
Taberna Más Al Sur,Mediterránea,Medio,6329 opiniones,Excelente!,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html
Peppe Fusco The Italian,Italiana,Medio,606 opiniones,Comida exquisita. Relación calidad/precio sobresaliente.,https://www.tripadvisor.es/Restaurant_Review-g187514-d23845263-Reviews-Peppe_Fusco_The_Italian-Madrid.html
Metro Bistró - Plaza Mayor,Mediterránea,Medio,1882 opiniones,Precio Calidad a Tope,https://www.tripadvisor.es/Restaurant_Review-g187514-d6498928-Reviews-Metro_Bistro_Plaza_Mayor-Madrid.html
Cromia,Americana,Medio,20 opiniones,Parrillada vzlana deliciosa!,https://www.tripadvisor.es/Restaurant_Review-g187514-d20758119-Reviews-Cromia-Madrid.html
Waraku,Japonesa,Medio,76 opiniones,Top Japonés,https://www.tripadvisor.es/Restaurant_Review-g187514-d23715075-Reviews-Waraku-Madrid.html
Mitiko,China,Alto,96 opiniones,Delicioso,https://www.tripadvisor.es/Restaurant_Review-g187514-d23685189-Reviews-Mitiko-Madrid.html
A vÁnvera,Italiana,Medio,444 opiniones,Trato excepcional y comida de 10,https://www.tripadvisor.es/Restaurant_Review-g187514-d5774304-Reviews-A_vAnvera-Madrid.html
Enklima,Mediterránea,Medio,231 opiniones,Absolutamente perfecto,https://www.tripadvisor.es/Restaurant_Review-g187514-d11870922-Reviews-Enklima-Madrid.html
Kaiten Sushi Madrid,Japonesa,Medio,270 opiniones,Muy buena experiencia y variedad,https://www.tripadvisor.es/Restaurant_Review-g187514-d23795463-Reviews-Kaiten_Sushi_Madrid-Madrid.html
Gramabar,Americana,Medio,1656 opiniones,Riquisimoooo,https://www.tripadvisor.es/Restaurant_Review-g187514-d6761498-Reviews-Gramabar-Madrid.html
BIZZO! Moncloa,Italiana,Bajo,169 opiniones,¡¡¡DE LOS MEJORES !!!,https://www.tripadvisor.es/Restaurant_Review-g187514-d15192227-Reviews-BIZZO_Moncloa-Madrid.html
Sibuya Urban Sushi Bar Chueca,Japonesa,Medio,1014 opiniones,Excelente calidad/precio,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html
Tacoctelería,Bares y pubs,Medio,114 opiniones,Fantástico!,https://www.tripadvisor.es/Restaurant_Review-g187514-d21505471-Reviews-Tacocteleria-Madrid.html
Malafemmena,Italiana,Medio,1512 opiniones,Italiano con toques diferentes,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html
Mamma Maria,Italiana,Medio,439 opinionesCierra en 6 minutos,11 km,https://www.tripadvisor.es/Restaurant_Review-g562654-d3698520-Reviews-Mamma_Maria-Leganes.html
La Burbujería,Mediterránea,Medio,144 opiniones,"Qué rico todo, qué amables",https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html
El 11 Resto-Brunch,Francesa,Medio,47 opiniones,Recomendable,https://www.tripadvisor.es/Restaurant_Review-g187514-d23202790-Reviews-El_11_Resto_Brunch-Madrid.html
Grosso Napoletano Senza Glutine,Italiana,Medio,66 opiniones,Gran opción para celiacos,https://www.tripadvisor.es/Restaurant_Review-g187514-d21346513-Reviews-Grosso_Napoletano_Senza_Glutine-Madrid.html
izakaya Han,Japonesa,Medio,469 opiniones,Siuuuuuuu,https://www.tripadvisor.es/Restaurant_Review-g187514-d5982128-Reviews-Izakaya_Han-Madrid.html
Sandy Barracane,Italiana,Medio,78 opiniones,Sin palabras.,https://www.tripadvisor.es/Restaurant_Review-g187514-d17746889-Reviews-Sandy_Barracane-Madrid.html
Cafeteria Neila,Bar,Bajo,133 opiniones,ideal para la cervecita y el pincho,https://www.tripadvisor.es/Restaurant_Review-g187514-d3182123-Reviews-Cafeteria_Neila-Madrid.html
Taberna de Peñalver,Marisco,Medio,1123 opiniones,Gran servicio y comida,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html
Santita Virgen de los Peligros,Mexicana,Medio,1086 opiniones,Fantástico postre,https://www.tripadvisor.es/Restaurant_Review-g187514-d17655334-Reviews-Santita_Virgen_de_los_Peligros-Madrid.html
La Piramide,Internacional,Medio,230 opiniones,Fantástica celebración familiar,https://www.tripadvisor.es/Restaurant_Review-g187514-d2002073-Reviews-La_Piramide-Madrid.html
La Piccola Trattoria,Italiana,Medio,332 opiniones,Insuperable,https://www.tripadvisor.es/Restaurant_Review-g187514-d10836250-Reviews-La_Piccola_Trattoria-Madrid.html
Lamiak,Bar,Bajo,313 opiniones,"Genial, rico, barato y buen ambiente",https://www.tripadvisor.es/Restaurant_Review-g187514-d5517417-Reviews-Lamiak-Madrid.html
Emma y Julia,Italiana,Medio,543 opiniones,Buen italiano en plena Cava Baja,https://www.tripadvisor.es/Restaurant_Review-g187514-d991382-Reviews-Emma_y_Julia-Madrid.html
Pizzeria Fratelli,Italiana,Medio,466 opiniones,Muy buena experiencia,https://www.tripadvisor.es/Restaurant_Review-g187514-d10670751-Reviews-Pizzeria_Fratelli-Madrid.html
Casa Lucas,Mediterránea,Medio,1381 opiniones,"Excelente, un clásico",https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html
MACAO Príncipe,Japonesa,Medio,376 opiniones,Platos diferentes.,https://www.tripadvisor.es/Restaurant_Review-g187514-d15591064-Reviews-MACAO_Principe-Madrid.html
Vinos de Bellota,Mediterránea,Medio,884 opiniones,Siempre es un acierto,https://www.tripadvisor.es/Restaurant_Review-g187514-d3530204-Reviews-Vinos_de_Bellota-Madrid.html
Maruzzella,Italiana,Medio,1022 opiniones,Comida 100% italiana,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html
Cervecería El Caño,Bar,Bajo,269 opiniones,Cada vez que vengo a Madrid repito,https://www.tripadvisor.es/Restaurant_Review-g187514-d16807647-Reviews-Cerveceria_El_Cano-Madrid.html
Sto Globo Sushi Room,Japonesa,Medio,346 opinionesCierra en 2 minutos,Siguen siendo los mejores,https://www.tripadvisor.es/Restaurant_Review-g187514-d16745406-Reviews-Sto_Globo_Sushi_Room-Madrid.html
Sazón-arte,Mediterránea,Medio,313 opiniones,Estupenda cena de tapeo,https://www.tripadvisor.es/Restaurant_Review-g187514-d7285433-Reviews-Sazon_Arte-Madrid.html
Sr. Ito,Japonesa,Medio,975 opiniones,Sabor y atención excelente,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html
Rioko Nikkei Sushi Bar,Japonesa,Medio,67 opiniones,Un restaurante especial y acogedor,https://www.tripadvisor.es/Restaurant_Review-g187514-d23898311-Reviews-Riokinho_Brazilian_Nikkei_Sushi_Bar-Madrid.html
Cruda Restaurante,Mexicana,Medio,533 opiniones,Estupendo,https://www.tripadvisor.es/Restaurant_Review-g187514-d21012227-Reviews-Cruda_Restaurante-Madrid.html
Trattoria Pizzeria A'Fenestella,Italiana,Medio,265 opiniones,Se solucionó el malentendido,https://www.tripadvisor.es/Restaurant_Review-g187514-d2697916-Reviews-Trattoria_Pizzeria_A_Fenestella-Madrid.html
Restaurante Gaudium Chamberí,Mediterránea,Medio,175 opiniones,Original y clásico,https://www.tripadvisor.es/Restaurant_Review-g187514-d1590227-Reviews-Restaurante_Gaudium_Chamberi-Madrid.html
Isabella Restaurante,Italiana,Medio,51 opiniones,Muy agradable a la vista y paladar,https://www.tripadvisor.es/Restaurant_Review-g187514-d18893909-Reviews-Isabella_Restaurante-Madrid.html
I Malavoglia,Italiana,Medio,52 opiniones,Sitio tranquilo. Buenas pizzas,https://www.tripadvisor.es/Restaurant_Review-g187514-d14051890-Reviews-I_Malavoglia-Madrid.html
Guasa Madrid,Fusión,Medio,75 opiniones,Fenomenal,https://www.tripadvisor.es/Restaurant_Review-g187514-d20869094-Reviews-Guasa_Madrid-Madrid.html
Lamonarracha-Chamberí,Japonesa,Medio,91 opiniones,Un japonés diferente con platos realmente buenos y un trato espectacular,https://www.tripadvisor.es/Restaurant_Review-g187514-d20060353-Reviews-Lamonarracha_Chamberi-Madrid.html
Oven mozzarella Bar Las Tablas,Italiana,Medio,1361 opiniones,Comida deliciosa y excelente servicio,https://www.tripadvisor.es/Restaurant_Review-g187514-d10509960-Reviews-Oven_mozzarella_Las_Tablas-Madrid.html
Cafe Grill La Luna,Italiana,Medio,94 opiniones,15.1 km,https://www.tripadvisor.es/Restaurant_Review-g562645-d5493057-Reviews-Cafe_Grill_La_Luna-Alcobendas.html
Empanadas Malvón,Latina,Medio,86 opiniones,Empanadas de 10,https://www.tripadvisor.es/Restaurant_Review-g187514-d18455067-Reviews-Empanadas_Malvon-Madrid.html
Pante Cucina Siciliana,Italiana,Medio,194 opiniones,Delicioso,https://www.tripadvisor.es/Restaurant_Review-g187514-d17370530-Reviews-Pante_Cucina_Siciliana-Madrid.html
La Gaditana Castellana,Internacional,Medio,1971 opiniones,Con ganas de volver!,https://www.tripadvisor.es/Restaurant_Review-g187514-d15364769-Reviews-La_Gaditana_Castellana-Madrid.html
Hddn Premium Mixology & Cuisine,Bares y pubs,Alto,47 opiniones,lugar especialmente bonito,https://www.tripadvisor.es/Restaurant_Review-g187514-d24165866-Reviews-Hddn_Premium_Mixology_Cuisine-Madrid.html
Teta & Sopa,Japonesa,Medio,19 opiniones,Comida sorprendente,https://www.tripadvisor.es/Restaurant_Review-g187514-d19860411-Reviews-Teta_Sopa-Madrid.html
Restaurante Morgana,Mediterránea,Medio,978 opiniones,Buena cena de gastronomía gallega,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Restaurante_Morgana-Madrid.html
Macuto / Auténtico Latino,Mexicana,Medio,41 opiniones,Recomendable,https://www.tripadvisor.es/Restaurant_Review-g187514-d17752465-Reviews-Macuto_Autentico_Latino-Madrid.html
La Rollerie- Calle Mayor,Americana,Medio,766 opiniones,Desayuno rico,https://www.tripadvisor.es/Restaurant_Review-g187514-d8134432-Reviews-La_Rollerie_Calle_Mayor-Madrid.html
Amordmadre,Mediterránea,Medio,428 opiniones,RECOMENDADO 100%,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html
Campesino Burger Al Carbón,Americana,Bajo,239 opiniones,Buena materia prima a un precio razonable,https://www.tripadvisor.es/Restaurant_Review-g187514-d10161466-Reviews-Campesino_Burger_Al_Carbon-Madrid.html
Camino Sacramento,Restaurante de carne,Medio,430 opiniones,Gran lugar para comer bien,https://www.tripadvisor.es/Restaurant_Review-g187514-d15184967-Reviews-Camino_Sacramento-Madrid.html
GastroVía 61,Mediterránea,Medio,2039 opiniones,Genial,https://www.tripadvisor.es/Restaurant_Review-g187514-d7622713-Reviews-GastroVia_61-Madrid.html
Massa Pizza,Italiana,Medio,452 opiniones,"Buena pizza, buena atención 👌🏼",https://www.tripadvisor.es/Restaurant_Review-g187514-d12169315-Reviews-Massa_Pizza-Madrid.html
Yatai Market,Tentempiés,Medio,335 opiniones,Mercado con espíritu oriental,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442416-Reviews-Yatai_Market-Madrid.html
La Piperna,Italiana,Medio,478 opiniones,Excelente comida y amplia carta de vinos,https://www.tripadvisor.es/Restaurant_Review-g187514-d2080253-Reviews-La_Piperna-Madrid.html
Trattoria La Tavernetta,Italiana,Medio,326 opiniones,Excelente,https://www.tripadvisor.es/Restaurant_Review-g187514-d2709829-Reviews-Trattoria_La_Tavernetta-Madrid.html
Burmet,Mexicana,Medio,89 opiniones,No quebró,https://www.tripadvisor.es/Restaurant_Review-g187514-d18980640-Reviews-Burmet-Madrid.html
Poké Friendly,Japonesa,Medio,53 opiniones,Muy rico y muy contentos!,https://www.tripadvisor.es/Restaurant_Review-g187514-d21493527-Reviews-Poke_Friendly-Madrid.html
Nacho Bravo,Mexicana,Bajo,157 opiniones,Rico rico,https://www.tripadvisor.es/Restaurant_Review-g187514-d15273626-Reviews-Nacho_Bravo-Madrid.html
Restaurante La Gaditana,Mediterránea,Medio,2384 opiniones,Buen bar cerca del wizink,https://www.tripadvisor.es/Restaurant_Review-g187514-d5787470-Reviews-Restaurante_La_Gaditana-Madrid.html
